category,average,median,range,std.dev
"Uncompressed",131.857,129,28,9.463
"GZIP (compression level 9)",128.429,125,29,8.829
"LZ4 (compression level 9)",150.429,148,25,8.567
"LZMA (compression level 9)",138.571,137,17,5.315
