category,average,median,range,std.dev
"Uncompressed",29.444,18,52,17.727
"GZIP (compression level 9)",45.889,38,35,12.521
"LZ4 (compression level 9)",47.222,37,44,15.662
"LZMA (compression level 9)",48.444,42,32,11.176
