category,average,median,range,std.dev
"Uncompressed",63.5,61.5,23,8.2
"GZIP (compression level 9)",70.3,69.5,16,6.4
"LZ4 (compression level 9)",73.2,71.5,20,7.5
"LZMA (compression level 9)",72.3,72,15,6.1
