category,average,median,range,std.dev
"Uncompressed",59.4,48.5,42,17.2
"GZIP (compression level 9)",62.5,56.5,24,9.6
"LZ4 (compression level 9)",67.3,58.5,35,14.1
"LZMA (compression level 9)",64.8,59.5,21,8.3
