category,average,median,range,std.dev
"Uncompressed",16.444,8,59,20.619
"GZIP (compression level 9)",28.778,27,32,9.414
"LZ4 (compression level 9)",31.333,27,44,13.695
"LZMA (compression level 9)",30.444,29,25,7.380
