category,average,median,range,std.dev
"Uncompressed",59.857,59,26,9.672
"GZIP (compression level 9)",67,66,15,5.581
"LZ4 (compression level 9)",75,72,18,6.612
"LZMA (compression level 9)",69,67,17,5.855
