1 "BSON" 8896 1828
2 "Cap'n Proto (packed)" 0 0
3 "CBOR" 5914 1351
4 "FlexBuffers" 5080 3268
5 "JSON" 18019 1979
6 "MessagePack" 5914 1405
7 "Smile" 4138 1328
8 "UBJSON" 7193 1431
