category,average,median,range,std.dev
"Uncompressed",13.429,13,8,3.375
"GZIP (compression level 9)",33.143,33,8,3.044
"LZ4 (compression level 9)",32.429,32,8,3.375
"LZMA (compression level 9)",36.857,37,7,2.695
