1 "ASN.1\n(PER Unaligned)" 205 105 136 103
2 "Apache Avro\n(unframed)" 283 100 130 92
3 "BSON" 456 187 234 167
4 "Cap'n Proto" 448 146 197 132
5 "Cap'n Proto\n(packed)" 228 142 162 137
6 "CBOR" 172 112 138 109
7 "FlatBuffers" 680 220 291 195
8 "FlexBuffers" 309 167 200 163
9 "JSON" 190 121 146 116
10 "MessagePack" 162 111 132 109
11 "Protocol Buffers" 325 115 145 107
12 "Smile" 228 131 158 128
13 "Apache Thrift\n(Compact Protocol)" 277 110 136 104
14 "UBJSON" 208 126 153 120
