category,average,median,range,std.dev
"Uncompressed",236,208,339,105.769
"GZIP (compression level 9)",133.571,126,86,29.451
"LZ4 (compression level 9)",162.429,153,112,37.416
"LZMA (compression level 9)",128,120,67,24.831
