category,average,median,range,std.dev
"Uncompressed",314,283,598,159.067
"GZIP (compression level 9)",124.778,115,151,39.891
"LZ4 (compression level 9)",158,143,209,54.922
"LZMA (compression level 9)",115.778,106,129,34.169
