category,average,median,range,std.dev
"Uncompressed",6.333,2,24,8.602
"GZIP (compression level 9)",23.889,22,11,4.175
"LZ4 (compression level 9)",24.222,21,26,8.954
"LZMA (compression level 9)",26.556,25,11,3.685
