category,average,median,range,std.dev
"Uncompressed",19.857,19,8,2.949
"GZIP (compression level 9)",39.714,39,8,2.864
"LZ4 (compression level 9)",38.857,38,8,2.949
"LZMA (compression level 9)",43.714,43,8,2.962
