category,average,median,range,std.dev
"Uncompressed",6.556,1,24,8.139
"GZIP (compression level 9)",25.222,21,15,5.769
"LZ4 (compression level 9)",24.222,20,28,9.343
"LZMA (compression level 9)",27.556,24,15,5.145
