category,average,median,range,std.dev
"Uncompressed",28.571,29,12,3.995
"GZIP (compression level 9)",47.429,46,7,2.665
"LZ4 (compression level 9)",47.571,48,12,3.995
"LZMA (compression level 9)",50.857,49,7,2.587
