category,average,median,range,std.dev
"Uncompressed",344.222,284,504,160.367
"GZIP (compression level 9)",155.222,155,186,55.573
"LZ4 (compression level 9)",195.444,194,245,76.005
"LZMA (compression level 9)",149.667,152,149,45.448
