category,average,median,range,std.dev
"Uncompressed",34.556,24,68,25.316
"GZIP (compression level 9)",48.444,44,45,14.856
"LZ4 (compression level 9)",51.111,43,63,21.158
"LZMA (compression level 9)",50.889,48,39,13.076
