category,average,median,range,std.dev
"Uncompressed",1050.429,979,232,95.648
"GZIP (compression level 9)",540.143,525,131,41.896
"LZ4 (compression level 9)",740.714,724,114,39.008
"LZMA (compression level 9)",561.571,546,98,32.004
