category,average,median,range,std.dev
"Uncompressed",2366.778,2230,1684,490.125
"GZIP (compression level 9)",1424.778,1370,514,176.837
"LZ4 (compression level 9)",1896.889,1832,933,273.974
"LZMA (compression level 9)",1415.444,1371,529,162.170
