category,average,median,range,std.dev
"Uncompressed",2864.429,2754,664,229.110
"GZIP (compression level 9)",1682.143,1633,411,134.529
"LZ4 (compression level 9)",2280.143,2179,397,149.588
"LZMA (compression level 9)",1688.714,1640,354,113.932
