category,average,median,range,std.dev
"Uncompressed",74.714,70,48,17.169
"GZIP (compression level 9)",86.714,85,35,12.068
"LZ4 (compression level 9)",91,88,37,13.980
"LZMA (compression level 9)",89.143,88,38,12.665
