category,average,median,range,std.dev
"Uncompressed",552,540,81,34.4
"GZIP (compression level 9)",350,341.5,86,28.1
"LZ4 (compression level 9)",426.8,415.5,77,28.9
"LZMA (compression level 9)",356,347.5,69,23.9
