category,average,median,range,std.dev
"Uncompressed",573.833,627,471,157.541
"GZIP (compression level 9)",168.167,161.500,67,21.474
"LZ4 (compression level 9)",204.833,198.500,52,18.004
"LZMA (compression level 9)",173.167,168,47,15.689
