category,average,median,range,std.dev
"Uncompressed",503.111,521,579,157.199
"GZIP (compression level 9)",114.444,114,87,25.687
"LZ4 (compression level 9)",131.778,132,113,33.816
"LZMA (compression level 9)",111.111,109,74,21.564
