category,average,median,range,std.dev
"Uncompressed",2114.571,1995,429,165.190
"GZIP (compression level 9)",1179.714,1131,312,97.621
"LZ4 (compression level 9)",1557.857,1483,295,107.522
"LZMA (compression level 9)",1187.714,1143,282,88.236
