category,average,median,range,std.dev
"Uncompressed",443.571,412,311,96.799
"GZIP (compression level 9)",386.143,382,171,51.927
"LZ4 (compression level 9)",439.143,418,228,70.087
"LZMA (compression level 9)",377,372,162,49.132
