category,average,median,range,std.dev
"Uncompressed",181.667,134,391,121.692
"GZIP (compression level 9)",157.778,142,208,63.702
"LZ4 (compression level 9)",176.111,153,298,88.006
"LZMA (compression level 9)",152.333,142,160,50.592
