category,average,median,range,std.dev
"Uncompressed",1237,1222,299,101.423
"GZIP (compression level 9)",703.333,676.500,229,75.832
"LZ4 (compression level 9)",940.167,909.500,268,93.060
"LZMA (compression level 9)",720.500,697.500,206,69.663
