category,average,median,range,std.dev
"Uncompressed",334.7,313.5,124,52.2
"GZIP (compression level 9)",248.3,239,101,33.7
"LZ4 (compression level 9)",298,279.5,113,44.4
"LZMA (compression level 9)",254.2,244.5,102,34.7
