category,average,median,range,std.dev
"Uncompressed",44.125,29,89,32.903
"GZIP (compression level 9)",47.500,43,50,14.790
"LZ4 (compression level 9)",55.250,48,70,21.376
"LZMA (compression level 9)",48.500,45.500,41,12.104
